,ID,Name,Date,Time,Event,Status,Latitude,Longitude,Maximum Wind,Year
275,AL021962,              BECKY,19620901,1800,  , TS,44.9,-14.0,35,1962
276,AL021963,             BEULAH,19630828,1800,  , TS,54.2,-35.5,105,1963
277,AL021964,            UNNAMED,19640803,1800,  , TS,54.3,-36.7,45,1964
278,AL021965,               ANNA,19650826,1800,  , TS,54.1,-12.6,80,1965
279,AL021966,              BECKY,19660703,1800,  , TS,45.5,-53.8,65,1966
280,AL021967,            UNNAMED,19670613,1800,  , TD,35.1,-63.0,-99,1967
281,AL021968,             BRENDA,19680626,1800,  , TS,39.0,-38.0,65,1968
282,AL021969,            UNNAMED,19690530,1800,  , TD,28.9,-71.0,25,1969
283,AL021970,              BECKY,19700723,1800,  , TS,37.2,-83.5,55,1970
284,AL021971,            UNNAMED,19710708,1800,  , TD,30.5,-92.0,25,1971
285,AL021972,              AGNES,19720623,1800,  , TS,41.7,-73.1,75,1972
286,AL021973,            UNNAMED,19730505,1800,  , TD,30.0,-47.0,25,1973
287,AL021974,            UNNAMED,19740626,1800,  , SS,33.5,-75.5,55,1974
288,AL021975,                AMY,19750704,1800,  , TS,47.0,-48.0,60,1975
289,AL021976,            UNNAMED,19760609,1800,  , TD,39.0,-69.5,30,1976
290,AL021977,            UNNAMED,19770719,1800,  , TD,32.0,-86.8,30,1977
291,AL021978,            UNNAMED,19780622,1800,  , TD,26.6,-83.5,25,1978
292,AL021979,                ANA,19790624,1800,  , TS,14.2,-45.0,50,1979
293,AL021980,            UNNAMED,19800721,1800,  , TD,30.5,-90.0,30,1980
294,AL021981,            UNNAMED,19810421,1800,  , TD,14.5,-77.5,25,1981
295,AL021982,            UNNAMED,19820620,1800,  , SS,45.4,-56.0,60,1982
296,AL021983,            UNNAMED,19830802,1800,  , TD,18.8,-27.0,30,1983
297,AL021984,            UNNAMED,19840620,1800,  , TD,22.7,-94.0,30,1984
298,AL021985,                BOB,19850726,1800, L, TS,38.3,-79.5,65,1985
299,AL021986,             BONNIE,19860628,1800, L, TS,37.2,-87.2,75,1986
300,AL021987,             ARLENE,19870828,1800,  , TS,50.5,-4.0,65,1987
301,AL021988,              BERYL,19880810,1800,  , TS,31.7,-89.1,45,1988
302,AL021989,            ALLISON,19890701,1800, L, TS,32.8,-93.7,45,1989
303,AL021990,             ARTHUR,19900727,1800,  , TS,9.7,-41.9,60,1990
304,AL021991,            UNNAMED,19910707,1800,  , TD,23.4,-96.2,30,1991
305,AL021992,            UNNAMED,19920626,1800,  , TD,28.5,-82.9,30,1992
306,AL021993,             ARLENE,19930621,1800, L, TS,27.2,-91.9,35,1993
307,AL021994,            UNNAMED,19940721,1800, L, TD,35.2,-78.9,30,1994
308,AL021995,              BARRY,19950710,2200, W, TS,48.5,-59.2,60,1995
309,AL021996,             BERTHA,19960717,2000, L, TS,9.8,-34.0,100,1996
310,AL021997,                ANA,19970705,1800,  , TS,41.0,-58.0,40,1997
311,AL021998,             BONNIE,19980831,1800, L, TS,44.5,-41.0,100,1998
312,AL021999,            UNNAMED,19990703,1800, L, TD,20.6,-95.0,30,1999
313,AL022000,            UNNAMED,20000625,1800,  , TD,9.9,-19.8,30,2000
314,AL022001,            UNNAMED,20010712,1800,  , TD,13.1,-42.1,25,2001
315,AL022002,             BERTHA,20020809,1800, L, TS,30.9,-88.5,35,2002
316,AL022003,            UNNAMED,20030611,1800,  , TD,9.7,-40.8,30,2003
317,AL022004,             BONNIE,20040814,1800, L, WV,39.0,-53.6,55,2004
318,AL022005,               BRET,20050630,2235, L, TS,22.0,-95.4,35,2005
319,AL022006,            UNNAMED,20060719,1800,  , TS,49.8,-46.1,45,2006
320,AL022007,              BARRY,20070605,1800, L, TS,47.5,-68.5,50,2007
321,AL022008,             BERTHA,20080721,2100, I, TS,58.5,-22.9,110,2008
322,AL022009,                ANA,20090816,1800,  , TS,14.6,-24.0,35,2009
323,AL022010,                TWO,20100710,1800, L, TD,28.1,-91.1,30,2010
324,AL022011,               BRET,20110723,1800,  , TS,39.8,-57.0,60,2011
325,AL022012,              BERYL,20120602,2300, L, TS,39.4,-53.2,60,2012
326,AL022013,              BARRY,20130621,2200, L, TS,19.6,-81.5,40,2013
327,AL022014,                TWO,20140723,1800,  , TD,9.7,-29.0,30,2014
328,AL022015,               BILL,20150621,1800, L, TS,38.9,-81.3,50,2015
329,AL031851,            UNNAMED,18510710,1200,  , TS,12.0,-60.0,50,1851
330,AL031852,            UNNAMED,18520913,1800, L, TS,34.0,-71.5,70,1852
331,AL031853,            UNNAMED,18530910,1800,  , TS,46.2,-23.2,130,1853
332,AL031854,            UNNAMED,18540912,2000, L, TS,40.2,-48.0,110,1854
333,AL031855,            UNNAMED,18550811,1200,  , HU,12.5,-83.0,70,1855
334,AL031856,            UNNAMED,18560821,1800, L, TS,41.0,-67.0,50,1856
335,AL031857,            UNNAMED,18570926,1800,  , HU,32.5,-73.5,70,1857
336,AL031858,            UNNAMED,18580917,1800, L, TS,50.0,-67.0,90,1858
337,AL031859,            UNNAMED,18590903,1800,  , HU,17.5,-59.7,70,1859
338,AL031860,            UNNAMED,18600911,1200,  , HU,40.0,-50.5,70,1860
